ID	PCR_type	guide	file
E2286_ID42_U2OS_LBR2_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID42_U2OS_LBR2_R2_T2.fastq.gz
E2286_ID43_U2OS_ATMi_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID43_U2OS_ATMi_R2_T1.fastq.gz
E2286_ID43_U2OS_ATMi_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID43_U2OS_ATMi_R2_T2.fastq.gz
E2286_ID44_U2OS_DNAPKi_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID44_U2OS_DNAPKi_R2_T1.fastq.gz
E2286_ID44_U2OS_DNAPKi_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID44_U2OS_DNAPKi_R2_T2.fastq.gz
E2286_ID45_U2OS_tracr_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID45_U2OS_tracr_R3_T1.fastq.gz
E2286_ID45_U2OS_tracr_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID45_U2OS_tracr_R3_T2.fastq.gz
E2286_ID46_U2OS_LBR2_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID46_U2OS_LBR2_R3_T1.fastq.gz
E2286_ID46_U2OS_LBR2_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID46_U2OS_LBR2_R3_T2.fastq.gz
E2286_ID47_U2OS_ATMi_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID47_U2OS_ATMi_R3_T1.fastq.gz
E2286_ID47_U2OS_ATMi_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID47_U2OS_ATMi_R3_T2.fastq.gz
E2286_ID48_U2OS_DNAPKi_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID48_U2OS_DNAPKi_R3_T1.fastq.gz
E2286_ID48_U2OS_DNAPKi_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID48_U2OS_DNAPKi_R3_T2.fastq.gz
E2286_ID49_RPE1_tracr_R4_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID49_RPE1_tracr_R4_T1.fastq.gz
E2286_ID5_RPE1_tracr_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID5_RPE1_tracr_R2_T1.fastq.gz
E2286_ID50_RPE1_LBR2_R4_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID50_RPE1_LBR2_R4_T1.fastq.gz
E2286_ID51_RPE1_ATMi_R4_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID51_RPE1_ATMi_R4_T1.fastq.gz
E2286_ID52_RPE1_DNAPKi_R4_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID52_RPE1_DNAPKi_R4_T1.fastq.gz
E2286_ID53_RPEDef_tracr_R4_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID53_RPEDef_tracr_R4_T1.fastq.gz
E2286_ID54_RPEDef_LBR2_R4_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID54_RPEDef_LBR2_R4_T1.fastq.gz
E2286_ID55_RPEDef_ATMi_R4_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID55_RPEDef_ATMi_R4_T1.fastq.gz
E2286_ID56_RPEDef_DNAPKi_R4_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID56_RPEDef_DNAPKi_R4_T1.fastq.gz
E2286_ID6_RPE1_LBR2_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID6_RPE1_LBR2_R2_T1.fastq.gz
E2286_ID7_RPE1_ATMi_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID7_RPE1_ATMi_R2_T1.fastq.gz
E2286_ID8_RPE1_DNAPKi_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID8_RPE1_DNAPKi_R2_T1.fastq.gz
E2286_ID9_RPE1_tracr_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID9_RPE1_tracr_R3_T1.fastq.gz
