"driver_mut" "ProjectName" "sample" "CLASS" "indel_n"
"135" "BRCA2" NA "1f5e70c1-c5de-49e7-941a-46e11a4f4416" "cNHEJ" 29
"136" "BRCA2" NA "1f5e70c1-c5de-49e7-941a-46e11a4f4416" "MMEJ" 137
"137" "BRCA2" NA "25c76a8f-77c0-4650-bddf-45ed0c10a2e6" "cNHEJ" 62
"138" "BRCA2" NA "25c76a8f-77c0-4650-bddf-45ed0c10a2e6" "MMEJ" 490
"139" "BRCA2" NA "35ceba07-0759-4fbe-b076-af821a528cf0" "cNHEJ" 79
"140" "BRCA2" NA "35ceba07-0759-4fbe-b076-af821a528cf0" "MMEJ" 495
"141" "BRCA2" NA "45e16b70-c3ec-493e-86d1-505ffdf5056c" "cNHEJ" 47
"142" "BRCA2" NA "45e16b70-c3ec-493e-86d1-505ffdf5056c" "MMEJ" 225
"143" "BRCA2" NA "46f19b5c-3eba-4b23-a1ab-9748090ca4e5" "cNHEJ" 69
"144" "BRCA2" NA "46f19b5c-3eba-4b23-a1ab-9748090ca4e5" "MMEJ" 346
"145" "BRCA2" NA "4c2ad4a0-5d57-4e27-9f35-058b2f205f50" "cNHEJ" 116
"146" "BRCA2" NA "4c2ad4a0-5d57-4e27-9f35-058b2f205f50" "MMEJ" 769
"147" "BRCA2" NA "5187e77d-f412-4303-8049-11d1aa1a0235" "cNHEJ" 66
"148" "BRCA2" NA "5187e77d-f412-4303-8049-11d1aa1a0235" "MMEJ" 590
"149" "BRCA2" NA "706868b5-4920-433a-bea3-92e9bf83059b" "cNHEJ" 21
"150" "BRCA2" NA "706868b5-4920-433a-bea3-92e9bf83059b" "MMEJ" 31
"151" "BRCA2" NA "7789ef18-c623-11e3-bf01-24c6515278c0" "cNHEJ" 29
"152" "BRCA2" NA "7789ef18-c623-11e3-bf01-24c6515278c0" "MMEJ" 222
"153" "BRCA2" NA "78103d9b-0b8a-431e-bb58-5c99fbea12e4" "cNHEJ" 104
"154" "BRCA2" NA "78103d9b-0b8a-431e-bb58-5c99fbea12e4" "MMEJ" 744
"155" "BRCA2" NA "7a921087-8e62-4a93-a757-fd8cdbe1eb8f" "cNHEJ" 98
"156" "BRCA2" NA "7a921087-8e62-4a93-a757-fd8cdbe1eb8f" "MMEJ" 684
"157" "BRCA2" NA "7ae9b843-488f-459c-8c0d-c81dcae57f99" "cNHEJ" 26
"158" "BRCA2" NA "7ae9b843-488f-459c-8c0d-c81dcae57f99" "MMEJ" 137
"159" "BRCA2" NA "7b08e810-f3c9-4155-ac11-f45a3a4f8b41" "cNHEJ" 41
"160" "BRCA2" NA "7b08e810-f3c9-4155-ac11-f45a3a4f8b41" "MMEJ" 353
"161" "BRCA2" NA "7cb71498-6ada-43c6-912b-bad4f93cf580" "cNHEJ" 67
"162" "BRCA2" NA "7cb71498-6ada-43c6-912b-bad4f93cf580" "MMEJ" 649
"163" "BRCA2" NA "7ccee959-1e87-4a39-b6b3-840ddcb94995" "cNHEJ" 67
"164" "BRCA2" NA "7ccee959-1e87-4a39-b6b3-840ddcb94995" "MMEJ" 447
"165" "BRCA2" NA "81bc7f0c-865d-4801-a935-2ab04170df53" "cNHEJ" 78
